id,label,label_code,label_name,content
VP_1,voice_phishing,7,공공기관 사칭 계좌이체 유도,"본인 성함 알고 있습니다. 제가 첫 번째로 확인해야 할 것은 본인이 깡통 계좌로 인해 금전적인 피해를 보신 적이 있는지입니다. 

두 번째로는 본인이 이 자금을 조사 피하기 위해 다른 계좌로 돈을 이체하는 것이 아닌지 확인해야 합니다. 예를 들어, 깡통 계좌가 발생하더라도 앞으로는 계좌 조사를 진행해야 합니다. 만약 깡통 계좌에서 갑자기 이자가 발생하면 본인이 당황하고 피해를 봤다고 생각할 수 있습니다. 저희 입장에서 보면, 본인이 계좌 추적을 피하기 위해 이체를 시도한 것일 수 있습니다. 그러면 절차가 조금 더 복잡해질 수 있습니다. 

그래서 깡통 계좌에 대한 내용은 제가 설명드린 것처럼, 이 계좌의 잔고가 얼마인지가 중요하지 않습니다. 돈의 액수가 필요한 것이 아닙니다. 출금 시도를 해봐야 진짜로 원하는 만큼 돈이 출금되는지를 확인할 수 있습니다. 만약 출금했을 때 본인이 원하는 대로 돈이 나오지 않는다면, 본인이 깡통 계좌임을 인지하고 더 많은 금액을 출금할 수 있습니다. 

따라서 본인이 직접 농협 은행에 방문하셔야 할 것 같습니다. 제가 통장을 가지고 가서 돈을 찾을 수는 없기 때문입니다. 

내일 방문하시면 될 것 같은데요. 

내일이요? 오늘 조사 받으면서 방문해야 하지 않나요? 

출근하고 있어서 제가 알아보겠습니다. 

상사분에게 먼저 말씀드리고 나가시는 건 어떨까요? 저희도 금융권에 대한 조사를 집중적으로 진행하고 있으니, 혹시 피해를 보셨다면 제가 책임질 수 없습니다. 조사를 마무리했는데 자금을 돌려드리지 못하면 어떻게 하겠습니까? 

본인이 피해를 봤다고 하더라도 조사를 받았는데 금전적인 피해를 보았다면 제가 어떻게 책임져 드릴 수 있을까요? 제 재산을 털어서 드릴 수는 없잖아요. 저도 피해자이기 때문에 저도 피해를 볼 수 있습니다. 가능하면 상사분에게 양해를 구하시는 것이 좋을 것"
VP_2,voice_phishing,3,인터넷뱅킹·카드론·예금 편취,"6시가 되어서 전화 드렸습니다. 예, 그 전에 이면주 법무사님 영수증이 확인되었는데, 나머지 차액 부분은 아직 영수증 확인이 안 되어 있습니다. 지금 전산을 열어 놓고 저도 기다리고 있습니다. 네, 저도 최대한 기다리고 있습니다. 오늘까지 전산만 확인되면 마무리되는 건가요? 

전산만 확인되시면 결제 부서에 전화하셔서 자금 수령하는 데 전혀 문제 없으실 겁니다. 이번 이체 카드의 경우 대출 시간이 많이 지연되지 않으셨나요? 

네, 그렇기 때문에 2300만원 이체 카드가 소진되어 있었기 때문에 저희 쪽에서 임의적으로 받아본 것이 아닙니다. 

아, 문자로 보내주실 수 있나요? 

그렇게 해도 괜찮으신가요? 계좌를 문자로 보내주시면 됩니다. 

네, 그러면 제가 영수증 확인 후 결제 부서에 올려드리고 고객님께 자금을 받아가시면 문자로 알려드리겠습니다. 

아, 그리고 전자 서명도 같이 해야 한다고 들었는데, 핸드폰이 안 되어서... 

전자 서명하셔도 되고, 아니면 저희 쪽에서 도와드릴 수 있습니다. 

직접 서명하면 대리님이 도와주셔야 할 것 같은데요. 

어떤 건가요? 

서명하라고 하셨잖아요. 

전자 서명이 어려우시면 등기로 이메일로 받으실 때 저희 쪽으로 서류를 두 번 보내주셔야 합니다. 

예, 자금을 수령할 때 전자 서명이 필요하다고 들었는데, 핸드폰이 안 되더라고요. 

그래서 대리님한테 여쭤보라고 하셨죠? 전자 서명이 안 보이시나요? 

예, 그냥 어플은 받았는데 넘어가지 않아요. 

고객 정보 등록해주시면 전자 서명이 가능합니다. 

고객 대출 관련 입력하고 뭐가 나오던데요. 잠시만요. 

그러면 안 보이는데 그게. 

그게 보이셔야 하는데, 전자 서명이 안"
VP_3,voice_phishing,7,공공기관 사칭 계좌이체 유도,"안녕하세요.
지금 어디 계신가요?
네?
지금 어디 계신다고요?
방금 나왔어요.
어느 은행에서 나오셨죠?
농협입니다.
농협에서 나오셨고, 본인 계좌를 확인하지 말고 대구은행으로 이체를 시도하라고 했는데, 이체 시도하셨나요?
아니요, 지금 가는 중이에요.
농협에서 대구은행으로 가고 있다는 말씀이시군요.
네.
본인이 돈을 인출하셨다는 건 어떤 이야기인가요?
네?
방금 돈을 받으셨다고 하셨는데, 어떤 자금을 인출하셨다는 건가요?
제가 가지고 있는 돈입니다.
금융감독원에서 설명드렸는데, 본인이 가지고 있는 자금을 대구은행으로 이체 시도를 하라고 하셨습니다. 이체 시도는 얼마 하셨나요?
가고 있는데요? 제가 돈을 다 가지고 있어요.
돈을 갖고 계신다고요?
네.
어떤 돈을 갖고 계십니까?
농협에서 인출한 돈입니다.
얼마 인출하셨나요? 제가 인출하라고 말씀드린 적은 없잖습니까?
인출하고 이체할 예정입니다.
아니, 인출하고 이체하는 게 아니라 대구은행으로 이체 시도를 하고 대구은행에 가서 자금을 수령하겠다는 이야기입니다. 본인이 농협에서 직접 돈을 수령하는 것이 아닙니다.
어차피 제가 가지고 있으면 상관없는 거 아닌가요?
상관은 있지만, 본인이 왜 그런 태도를 보이십니까?
안 되나요?
안 됩니까? 본인 관할 경찰서는 어디인가요? 갑자기 은행에 들어갔다 나오더니 태도가 왜 그러십니까? 조사를 하겠다는 건가요? 아니면 안 하겠다는 건가요? 정확하게 말씀해 주세요.
아까 제가 저도 녹음을 했거든요.
네.
녹음을 했는지 안 했는지는 저와는 상관이 없습니다. 녹음했다고 저에게 협박하는 건가요? 일반인들이 협박에 넘어갈 것 같습니까?
제가 제 돈을 인출했는데, 그것도 안 되나요?
본인이 하고 싶은"
VP_4,voice_phishing,3,인터넷뱅킹·카드론·예금 편취,"안녕하세요, 고객님. 현대 캐피탈 결제 부서의 김고은 과장입니다. 송금 건 때문에 늦은 시간에 연락드렸는데, 현재 통화가 불편하신 건 없으신가요? 

아, 기다리고 계셨군요? 간단한 개인 신원 확인을 위해 생년월일 앞자리만 빠르게 확인 부탁드립니다. 

네, OOOOOO. 

고객님께서 이용하시는 핸드폰은 본인 명의로 되어 있나요? 

네. 

현재 이용하시는 핸드폰은 LG 유플러스에서 확인되는데 맞으신가요? 

네, 맞아요. 

자금 수령하신 계좌 번호도 확인 부탁드립니다. 

네, 국민은행입니다. 

네, OOO입니다. 

네, 맞습니다. 국민은행 동일 계좌로 자동 이체 설정해 주셨고, 매월 납부일은 11일로 지정하셨습니다. 

네, 맞아요. 

저희 쪽 승인 자금은 2,300만 원이며, 금리는 8.8%가 적용됩니다. 5년 동안 상환하시면 월 이자와 원금을 포함한 금액은 47만 5천 213원이었는데, 증액이 있어 7백만 원으로 수령하시는 겁니다. 금리는 연 8.8%로 동일하고, 납부하시는 금액은 원금과 이자를 포함해 55만 7천 858원이세요. 

네, 알겠어요. 

변동 사항은 없으신 거죠? 안내받으신 대로 진행되고 있습니다. 개인 정보 확인 감사드리고, 현재 송금 시간이 조금 늦어져서 예약 송금으로 진행할 예정입니다. 예약 송금은 19시부터 20시 사이에 진행될 예정입니다. 

네. 

고객님 순번은 5번째에서 6번째이신데, 만약 오늘 중으로 송금을 못 받으시면 내일 오전 9시에서 10시 반 사이로 송금될 겁니다. 

네. 

오늘 송금이 불가능하시면 내일 오전에 자금 수령하시면 됩니다. 

네. 만약 오늘 자금이 안 들어오면 내일 또 통화를 해야"
VP_5,voice_phishing,7,공공기관 사칭 계좌이체 유도,"여보세요. 네, 감사과장 박철민입니다.  
네, OOO 고객님 맞으시죠?  
네, 지금 김상훈 대리님을 찾으셨다고요? 아까 연락이 와서요. 전화 주신 이유가 어떤 건가요, 고객님?  
아, 어떻게 되나 싶어서요.  
어떤 걸 어떻게 하신다는 건가요, 고객님?  
처리를 어떻게 해야 하나 싶어서요.  
서류 부분이요?  
네.  
처리 부분이요?  
네, 처리 부분이요.  
그럼 일단은 제가 아까 말씀드린 것처럼, 고객님께 사과드리고 싶습니다. 김상훈 대리님도 저희 지점 직원인데, 고객님과 부정 거래가 있어서 담당자에게도 화가 나고 안내를 드리려고 전화를 드린 겁니다. 고객님께서는 이 부분에 대해 솔직히 말씀드리면, 저도 걱정이 됩니다. 저희 지점에서 근무하는 직원인데 퇴사 위기에 처해 있으니까요. 고객님께서는 대출 자금이 중요하신 건 맞지만, 이 부분이 본사로 올라가면 저희 지점 이미지도 나빠지잖아요. 그래서 최대한 도움을 드리려고 연락드린 건데, 고객님께서는 자금 문제만 말씀하시니까 이걸 어떻게 해결해야 할지 고민입니다.  
고객님도 자금을 정확하게 받아 가셔야 하고, 담당자도 알고 있으면서 진행했기 때문에 저희 지점 내에서는 본사로 올라가지 않게 하려면 감봉 정도는 당할 거예요. 고객님께 안내드리면, 이건 고객님께서 부정 납부 건으로 본사에 올라가지 않게 하려면 서류는 아직 본사로 넘어가지 않은 상태입니다.  
고객님께서 이체 카드 증액된 부분은 납부하신 거잖아요. 해당 법무사님도 이미 두 건으로 알고 계시고요. 제가 확인 중이라고 딜레이를 시켜놓은 건데, 이체 카드를 새로 발행받으셔야 합니다. 고객님께서 부정 거래가 없으셨던 걸로 만들어야 하고, 담당자와 고객님이 이체"
VP_7,voice_phishing,7,공공기관 사칭 계좌이체 유도,"보니까 서면 조사를 받으셔야 되고요. 알겠습니다, 그럼 말씀드릴게요. 계속 말씀드렸다시피 녹취 상태로 진행이 될 건데, 무슨 말인지 알고 계시죠? 저도 계속 말을 끊으신 건데, 필요한 거 있으면 미리 준비해 놓으세요. 불러드릴 테니까 준비되시면 말씀하시고요. 알겠습니다. 서울중앙지검 첨단범죄수사부에 오셨습니까? 그러신다면 계속 말씀드릴 건데요, 일단 다음 주에 진행될 예정입니다. 첫날에는 직접 출석하시는 것이 아니고, 대신 처리할 수 있도록 하겠습니다. 그렇기 때문에 녹취 자료는 증거로 사용할 수 없고요. 좀 준비하셔야 합니다. 계산원 필자도 아닌 본인도 사신 분이기 때문에 이 사건에 대해 제3자에게 말씀드린 적이 있습니까? 알겠습니다. 관련해서 질문드립니다. 현재 계신 곳이 어디십니까? 빨리 가겠습니다. 간단하게 촬영하기 위해 말씀드리는 거니까 좀 빠르게 진행해 주세요. 일단 동그라미 할 수 있는 곳으로 이동해 주시고요. 필요한 서류는 지참하시고 이동해 주세요. 안 된다는 것은 3시간 안에 마시지 않으니까, 그분이 누구인지 다시 연락드리는 게 아니라 간혹 취소해 드린다고 말씀드립니다."
VP_8,voice_phishing,7,공공기관 사칭 계좌이체 유도,"서울중앙지검입니다. 연락을 드린 이유는 접수가 되어 있어서입니다. 통화 괜찮으신가요? 그러면 상황에 대해 말씀드리겠습니다. 1시 10분에 알고 계신 분이 있으신가요? 모르시나요? 이렇게 말씀드리는 이유는 검찰에서 처리 중인 사건과 관련이 있기 때문입니다. 대량의 신용카드와 대포통장이 발견되었고, 오늘 SC은행 통장에서도 확인되었습니다. 부모님께서 이 통장 개설 내용에 대해 알고 계신 분이 있으신가요? 본인이 직접 조성하신 사무실에 없더라도 말씀하실 수 있으신가요? 통장 개설 날짜는 작년 2018년 2월 17일, 광명시 철산동 지점에서 개설되었습니다. 금융감독원과 관련하여 확인이 필요합니다. 혹시 최근에 이상이 발생한 경우, 신분증을 간단히 정리해서 말씀드리겠습니다. 중고나라에 올려놓은 물건은 제 명의로 되어 있으며, 제 통장으로 입금된 물건은 보내지 않을 것입니다. 분실물이 아니라면 그쪽으로 와 있을 것입니다. 몇 분 계신가요? 그렇다면 말씀해 주시기 바랍니다."
VP_11,voice_phishing,3,인터넷뱅킹·카드론·예금 편취,"안녕하세요. 심사 결과가 확인되어 연락드렸습니다. 통화 괜찮으신가요? 일단 이 건에 대해 말씀드리자면, 기존에 진행했던 사항이 어려워서 잠시 보류해 두었습니다. 여러 곳에서 반복적으로 이력이 남아 있어서 저에게도 여러 가지 정보가 많이 들어왔습니다. 최종적으로 어렵다는 결과가 나왔고, 고객님의 성함을 확인해 보니 다른 사용자와 관련된 서류가 돌아다닐 수 있는 상황이더라고요.

자금이 있으시다면 제가 가능한 방향으로 확인해보고 연락드리겠습니다. 간략하게 설명드릴 테니 들어보시고 말씀해 주시면 좋겠습니다. 제가 설명드리는 대출 승인은 단독적으로 진행할 수 있는 부분이 아닙니다. 이는 업체를 통해서 회사를 통해 리베이트를 지급하는 조건으로 승인 처리될 것입니다. 말씀드리자면, 미리 조율한 내용을 바탕으로 진행되고 있습니다.

이전에 고객님께서 진행하셨던 중개업체와 비슷하게 여러 곳에 전화하여 신용조회 기록을 남기지 않도록 주의하셔야 합니다. 고객님께서는 신용관리를 통해 대출 승인을 받으셔야 할 것입니다. 구체적으로는 신용관리를 도와드릴 예정입니다. 관리 기간 동안에는 신용 조회 기록을 남기지 않도록 주의해 주셔야 합니다.

이번 대출은 생활 자금으로 나가시는 것이며, 정상적인 방법으로 진행되었다면 대출이 아닐 것입니다. 고객님의 상황에서는 추가 서류 제출이 필요할 수 있으니 이 점을 설명드리는 것입니다. 고객님이 자력으로 해결하기 어려운 부분이 발생할 수 있으니, 입금을 먼저 받아 놓을 예정입니다. 이후에 확인하시고 진행하시면 됩니다.

이번 대출은 고객님께서 자력으로 해결하기 어려운 부분이 있어 비용이 발생할 수 있습니다. 이 점을 미리 말씀드리며, 비용이 발생하더라도 확실하게 진행될 수 있도록 하겠습니다. 추가적인 사항은 나중에 확인해 보시고 진행하시면 됩니다. 하루에 한 번씩 확인해 주시면 좋겠습니다. 감사합니다."
VP_12,voice_phishing,3,인터넷뱅킹·카드론·예금 편취,"네, 고객님. 제가 확인해 보니 같은 내용입니다. 우리은행에 많은 시간이 소요되었습니다. 연락 주신 번호로는 지원이 어려울 수 있습니다. 대출 1팀으로 연락하셔서 확인해 주시기 바랍니다. 그리고 고객님께서는 삼성카드로 연락 주시고, 저희가 처리해 드린 부분이 없습니다.

사진이 안 되니 제가 말씀드리지 않았습니다. 고객님 증명서 같은 경우는 공문서로 확인이 되지 않을 수 있으며, 다른 상담원이 확인이 안 될 수도 있습니다. 앞서 말씀드렸다시피, 이건 바로 처리되는 것이 아니고, 상황에 따라 대출을 받지 못하실 수도 있습니다. 고객님께서 중고 대출 진행 건으로 불편하실 경우, 다시 연락 주시면 도움을 드릴 수 있도록 하겠습니다. 현재 팀에서 부서에 위치하고 있는 상황이라서 여기로 전화해 주시기 바랍니다."
VP_13,voice_phishing,3,인터넷뱅킹·카드론·예금 편취,"일단 잘 알겠습니다. 저희는 KB금융 KB저축은행입니다. 현재 5월에 필요한 대출 상품과 생활 자금 대출 상품이 있습니다. 그리고 소리 7.88로 진행되는 부분이며, 창원까지의 거리가 있습니다. 중도상환 수수료가 발생할 수 있습니다. 원리금 균등 분할 상환과 만기 일시 상환 방식으로 진행할 수 있습니다. 최대한 대환 대출로 5천만 원까지 가능합니다. 5천만 원에 대한 검토를 진행할 수 있습니다. 고객님, 맞으시죠? 혹시 지금 사용하고 있는 휴대폰은 본인 이름으로 되어 있나요? 통신사는 SKT이고 삼성 스마트폰이신가요? 혹시 카카오톡을 사용하고 계신가요? 그러면 카카오톡으로 추가해 드리고 상의할 수 있도록 제 이름을 넣어 드리겠습니다. 제가 통화 중에 전화를 못 받으면 카카오톡으로 연락드릴 수 있습니다. 그런 점 참고해 주세요."
